Date,Description,Amount
03/06/2026,WOOLWORTHS 3147,-72.45
06/06/2026,METRO TRAINS MELBOURNE,-5.50
09/06/2026,NETFLIX,-18.99
12/06/2026,OPTUS,-65.00
15/06/2026,PAYROLL ACME PTY LTD,1900.00
18/06/2026,COLES,-63.20
22/06/2026,UBER,-21.40
28/06/2026,GRILLD,-19.80
02/07/2026,WOOLWORTHS 3147,-81.35
05/07/2026,PUZZLE COFFEE,-7.20
08/07/2026,SPOTIFY,-13.99
11/07/2026,CHEMIST WAREHOUSE,-36.50
15/07/2026,PAYROLL ACME PTY LTD,1900.00
19/07/2026,UNIQLO,-94.90
23/07/2026,COLES,-69.40
29/07/2026,UBER,-28.60
01/08/2026,WOOLWORTHS 3147,-92.10
04/08/2026,APPLE STORE,-449.00
07/08/2026,PUZZLE COFFEE,-8.40
10/08/2026,NETFLIX,-18.99
12/08/2026,OPTUS,-65.00
15/08/2026,PAYROLL ACME PTY LTD,1900.00
18/08/2026,GRILLD,-34.50
21/08/2026,COLES,-75.80
25/08/2026,UBER,-31.20
29/08/2026,SPOTIFY,-13.99
