Date,Description,Amount
01/09/2026,WOOLWORTHS 3147,-76.40
02/09/2026,METRO TRAINS MELBOURNE,-5.50
03/09/2026,PUZZLE COFFEE,-6.90
04/09/2026,NETFLIX,-18.99
05/09/2026,OPTUS,-65.00
06/09/2026,UBER,-24.20
07/09/2026,UBER,-26.80
08/09/2026,APPLE STORE,-899.00
09/09/2026,GRILLD,-28.50
10/09/2026,GRILLD,-31.20
11/09/2026,SPOTIFY,-13.99
12/09/2026,SPOTIFY,-13.99
13/09/2026,COLES,-68.70
14/09/2026,CHEMIST WAREHOUSE,-41.30
15/09/2026,PAYROLL ACME PTY LTD,1900.00
16/09/2026,AMAZON AU,-186.40
18/09/2026,PUZZLE COFFEE,-7.50
20/09/2026,UBER,-34.60
22/09/2026,WOOLWORTHS 3147,-82.10
24/09/2026,GRILLD,-35.90
26/09/2026,AMAZON AU,-142.75
28/09/2026,COLES,-71.50
